ID;CODIGO PAIS;CODIGO ENTIDAD;UBIGEO;SNIP;CUI;REGION;PROVINCIA;DISTRITO;PROYECTO;DISPOSITIVO LEGAL;AMBITO;UNIDAD EJECUTORA;TOTAL EMPLEOS;POBLACION BENEFICIARIA;TIPOLOGIA;TIPO MONEDA;MONTO DE INVERSIÓN;TIPO MONEDA;MONTO DE TRANSFERENCIA 2020;ESTADO
245;PE;11476;140301;2492113;2492113;LAMBAYEQUE;LAMBAYEQUE;LAMBAYEQUE;"REPARACION DE VEREDA; EN EL(LA) CALLES DEL CENTRO HISTÓRICO DE LA CIUDAD DE LAMBAYEQUE DISTRITO DE LAMBAYEQUE, PROVINCIA LAMBAYEQUE, DEPARTAMENTO LAMBAYEQUE.";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE LAMBAYEQUE;40;2200;Pista y Vereda;PEN;1,343,144.25;PEN;1,309,145.00;Concluido
246;PE;11476;140114;2492106;2492106;LAMBAYEQUE;CHICLAYO;SANTA ROSA;"RENOVACION DE PISTA Y VEREDA; EN EL(LA) CALLE UNION ENTRE LA CALLE DIEGO FERRE Y LA AVENIDA ELIBERTO CASAS DEL SECTOR PUEBLO TRADICIONAL DEL DISTRITO DE SANTA ROSA, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE.";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE SANTA ROSA;17;560;Pista y Vereda;PEN;556,353.10;PEN;531,354.00;Concluido
247;PE;11476;140115;2492119;2492119;LAMBAYEQUE;CHICLAYO;SAÑA;"REPARACION DE CALZADA Y VEREDA; EN EL(LA) CALLE PRINCIPAL, CALLE 02, CALLE 04, CALLE 05 Y CALLE 08 EN LA LOCALIDAD LA OTRA BANDA, DISTRITO DE SAÑA, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE.";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE SAÑA;28;400;Pista y Vereda;PEN;909,209.79;PEN;889,475.00;Concluido
248;PE;11476;140312;2492141;2492141;LAMBAYEQUE;LAMBAYEQUE;TUCUME;"RENOVACION DE CALZADA, GIBA, RAMPA Y VEREDA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) VÍAS LOCALES DE LA LOCALIDAD DE TUCUME  DISTRITO DE TUCUME , PROVINCIA LAMBAYEQUE, DEPARTAMENTO LAMBAYEQUE";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE TUCUME;26;398;Pista y Vereda;PEN;874,921.86;PEN;841,422.00;Concluido
249;PE;11476;140120;2492121;2492121;LAMBAYEQUE;CHICLAYO;TUMAN;"CONSTRUCCION DE VEREDA Y CALZADA; REPARACION DE VEREDA Y CALZADA; EN EL(LA) ANILLO VIAL 01 - AV. SANTA - AV. EL TREN Y AV EL TRABAJO DISTRITO DE TUMAN, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE TUMAN;23;675;Pista y Vereda;PEN;765,336.30;PEN;731,337.00;Concluido
250;PE;11476;140120;2492136;2492136;LAMBAYEQUE;CHICLAYO;TUMAN;"CONSTRUCCION DE VEREDA Y CALZADA; REPARACION DE VEREDA Y CALZADA; EN EL(LA) BLOCK 10 - BLOCK 9 - BLOCK 8 - BLOCK 7 - BLOCK 4 - BLOCK 5 DISTRITO DE TUMAN, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE TUMAN;29;400;Pista y Vereda;PEN;988,625.84;PEN;954,626.00;Concluido
251;PE;11476;140120;2492139;2492139;LAMBAYEQUE;CHICLAYO;TUMAN;CONSTRUCCION DE VEREDA Y PAVIMENTO  ADEMAS DE OTROS ACTIVOS  ENTRE LAS  CALLES JUAN VELASCO ALVARADO -CALLE N°31 - CALLE N°09 – CRTA. A CHONGOYAPE  , DEL DISTRITO DE TUMAN - PROVINCIA DE CHICLAYO - REGION LAMBAYEQUE;DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE TUMAN;29;200;Pista y Vereda;PEN;949,642.93;PEN;915,643.00;Concluido
252;PE;11476;140120;2492143;2492143;LAMBAYEQUE;CHICLAYO;TUMAN;"CONSTRUCCION DE CALZADA; REPARACION DE VEREDA Y CALZADA; EN EL(LA) AV.TREN - AV. SAN MARTIN - AV.CHOTA DISTRITO DE TUMAN, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE TUMAN;23;360;Pista y Vereda;PEN;775,921.21;PEN;741,922.00;Concluido
253;PE;11476;140112;2492117;2492117;LAMBAYEQUE;CHICLAYO;PIMENTEL;REHABILITACION DE PISTAS Y VEREDAS EN LAS CALLES DE LA URBANIZACIÓN TÚPAC AMARU, DISTRITO DE PIMENTEL - CHICLAYO - LAMBAYEQUE;DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE PIMENTEL;32;475;Pista y Vereda;PEN;1,070,908.36;PEN;1,056,046.00;En Ejecución
254;PE;11476;140106;2493190;2493190;LAMBAYEQUE;CHICLAYO;LA VICTORIA;"CONSTRUCCION DE VEREDA, RAMPA Y CALZADA; EN EL(LA) CALLES INCA ROCA, YAHUAR HUACA, INCA YUPANQUI, MANCO INCA, LOS ANDENES (ENTRE AV. LOS AMAUTAS Y AV. LAS ÑUSTAS), COMPRENDIDAS EN EL PRIMER SECTOR B  DISTRITO DE LA VICTORIA, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE LA VICTORIA;20;455;Pista y Vereda;PEN;659,993.57;PEN;638,035.00;Concluido
255;PE;11476;140106;2493198;2493198;LAMBAYEQUE;CHICLAYO;LA VICTORIA;"CONSTRUCCION DE VEREDA, RAMPA Y CALZADA; EN LA AVENIDA MANUEL SEOANE (ENTRE AV. GRAN CHIMU Y AV. LA PAZ), COMPRENDIDAS EN EL SEPTIMO SECTOR, DISTRITO DE LA VICTORIA, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE LA VICTORIA;35;240;Pista y Vereda;PEN;1,171,235.75;PEN;1,174,171.00;Concluido
256;PE;11476;140106;2493170;2493170;LAMBAYEQUE;CHICLAYO;LA VICTORIA;"CONSTRUCCION DE VEREDA, RAMPA Y CALZADA; EN EL(LA) CALLES JOSÉ M. ARGUEDAS, CA. LLOQUE YUPANQUI Y CA. WARI (ENTRE AV. MACCHU PICCHU, CA. TUPAC AMARU, CA. SACSAHUAMAN Y CALLE JAVIER HERAUD), COMPRENDIDAS EN EL A.H. EL BOSQUE, DISTRITO DE LA VICTORIA, PROVINCIA CHICLAYO, DEPARTAMENTO LAMBAYEQUE";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE LA VICTORIA;17;525;Pista y Vereda;PEN;528,390.48;PEN;500,609.00;Concluido
257;PE;11476;140112;2492100;2492100;LAMBAYEQUE;CHICLAYO;PIMENTEL;REHABILITACION DE PISTAS Y VEREDAS EN LA URBANIZACIÓN DALLORSO, DISTRITO DE PIMENTEL - CHICLAYO - LAMBAYEQUE;DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE PIMENTEL;31;2000;Pista y Vereda;PEN;1,030,776.00;PEN;1,001,776.00;Concluido
258;PE;11476;140305;2491989;2491989;LAMBAYEQUE;LAMBAYEQUE;MOCHUMI;"CONSTRUCCION DE VEREDA, RAMPA, AREA VERDE Y SARDINEL; ADEMÁS DE OTROS ACTIVOS EN EL(LA) CALLE PROLONGACIÓN MARCIAL BARRETO EN LA LOCALIDAD MOCHUMI, DISTRITO DE MOCHUMI, PROVINCIA LAMBAYEQUE, DEPARTAMENTO LAMBAYEQUE.";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE MOCHUMI;31;100;Pista y Vereda;PEN;1,036,206.91;PEN;1,006,207.00;Concluido
259;PE;11476;140305;2491964;2491964;LAMBAYEQUE;LAMBAYEQUE;MOCHUMI;"REPARACION DE VEREDA, RAMPA, SARDINEL Y CALZADA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) CALLE SAN MARTIN EN LA LOCALIDAD MOCHUMI, DISTRITO DE MOCHUMI, PROVINCIA LAMBAYEQUE, DEPARTAMENTO LAMBAYEQUE";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE MOCHUMI;53;250;Pista y Vereda;PEN;1,799,077.25;PEN;1,769,078.00;En Ejecución
260;PE;11476;160101;2492834;2492834;LORETO;MAYNAS;IQUITOS;"CONSTRUCCION DE PAVIMENTO Y VEREDA; REPARACION DE PAVIMENTO; EN EL(LA) ZONA DEL P.J. 09 DE OCTUBRE II ETAPA, DISTRITO DE IQUITOS, PROVINCIA MAYNAS, DEPARTAMENTO LORETO";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE MAYNAS;55;250;Pista y Vereda;PEN;1,857,100.87;PEN;1,624,573.00;Concluido
261;PE;11476;160101;2492839;2492839;LORETO;MAYNAS;IQUITOS;"CONSTRUCCION DE PAVIMENTO Y VEREDA; REPARACION DE VEREDA; EN EL(LA) ZONA DEL A.H. TERRENOS MUNICIPALES, DISTRITO DE IQUITOS, PROVINCIA MAYNAS, DEPARTAMENTO LORETO";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE MAYNAS;17;180;Pista y Vereda;PEN;572,553.17;PEN;507,792.00;Concluido
262;PE;11476;220401;2493086;2493086;SAN MARTIN;HUALLAGA;SAPOSOA;" CONSTRUCCION DE PAVIMENTO, VEREDA Y CUNETA; REPARACION DE VEREDA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) MALECÓN ECOTURISTICO JOSUE ALVARADO EN LA LOCALIDAD SAPOSOA, DISTRITO DE SAPOSOA, PROVINCIA HUALLAGA, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE HUALLAGA  SAPOSOA;26;906;Pista y Vereda;PEN;883,305.62;PEN;849,306.00;En Ejecución
263;PE;11476;220909;2494122;2494122;SAN MARTIN;SAN MARTIN;LA BANDA DE SHILCAYO;"REPARACION DE CALZADA; CONSTRUCCION DE CALZADA, VEREDA Y CUNETA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) JR. RECREO DE LAS C_01 A LA C_11 DISTRITO DE LA BANDA DE SHILCAYO, PROVINCIA SAN MARTIN, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE LA BANDA DE SHILCAYO;40;1750;Pista y Vereda;PEN;1,336,637.36;PEN;1,288,371.00;Concluido
264;PE;11476;221002;2492343;2492343;SAN MARTIN;TOCACHE;NUEVO PROGRESO;"CONSTRUCCION DE CALZADA, VEREDA, CUNETA Y SARDINEL; ADEMÁS DE OTROS ACTIVOS EN EL(LA) BARRIO PLAZA DE ARMAS EN LA LOCALIDAD NUEVO PROGRESO, DISTRITO DE NUEVO PROGRESO, PROVINCIA TOCACHE, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE NUEVO PROGRESO;50;912;Pista y Vereda;PEN;1,688,528.32;PEN;1,670,425.00;En Ejecución
265;PE;11476;220405;2491927;2491927;SAN MARTIN;HUALLAGA;SACANCHE;"RENOVACION DE SEÑALIZACION VERTICAL; CONSTRUCCION DE PISTA, VEREDA Y CUNETA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) JR. RAMON CASTILLA (CDRA. 02 A CDRA. 06), CALLE VICTORIA (CDRA. 02) Y CALLE MIGUEL GRAU (CDRA. 03) DEL SECTOR 2 EN LA LOCALIDAD SACANCHE, DISTRITO DE SACANCHE, PROVINCIA HUALLAGA, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE SACANCHE;43;220;Pista y Vereda;PEN;1,439,358.90;PEN;1,454,548.00;Concluido
266;PE;11476;220405;2492049;2492049;SAN MARTIN;HUALLAGA;SACANCHE;"RENOVACION DE SEÑALIZACION VERTICAL; CONSTRUCCION DE PISTA, VEREDA Y CUNETA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) JR. SAN MARTIN (CDRA. 03 Y CDRA.04) Y CALLE PORVENIR (CDRA. 03 Y CDRA. 04) DEL SECTOR 3 EN LA LOCALIDAD SACANCHE, DISTRITO DE SACANCHE, PROVINCIA HUALLAGA, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE SACANCHE;29;126;Pista y Vereda;PEN;999,268.86;PEN;1,053,952.00;Concluido
267;PE;11476;220706;2492149;2492149;SAN MARTIN;PICOTA;SAN CRISTOBAL;"REPARACION DE CALZADA, VEREDA Y CUNETA; CONSTRUCCION DE VEREDA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) SECTOR CENTRO EN LA LOCALIDAD PUERTO RICO, DISTRITO DE SAN CRISTOBAL, PROVINCIA PICOTA, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE SAN CRISTOBAL;19;277;Pista y Vereda;PEN;613,458.20;PEN;581,121.00;Concluido
268;PE;11476;220301;2492116;2492116;SAN MARTIN;EL DORADO;SAN JOSE DE SISA;"CONSTRUCCION DE PAVIMENTO, VEREDA Y CUNETA; REPARACION DE PAVIMENTO; EN EL(LA) JR. MALECÓN C1,C2,C3 Y C4 EN LA LOCALIDAD SAN JOSE DE SISA, DISTRITO DE SAN JOSE DE SISA, PROVINCIA EL DORADO, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE EL DORADO;19;80;Pista y Vereda;PEN;631,510.34;PEN;599,815.00;Concluido
269;PE;11476;220501;2491851;2491851;SAN MARTIN;LAMAS;LAMAS;"REPARACION DE PAVIMENTO, VEREDA Y CUNETA; EN EL(LA) JIRON LIMA CUADRA 1 Y 2, JIRON SAN MARTIN 15 Y 16 DISTRITO DE LAMAS, PROVINCIA LAMAS, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE LAMAS;25;683;Pista y Vereda;PEN;824,081.18;PEN;798,714.00;Concluido
270;PE;11476;220101;2492071;2492071;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;"CONSTRUCCION DE CALZADA, VEREDA, BERMA Y RAMPA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) JR. CAJAMARCA CUADRA 6, JR. SAN CARLOS CUADRA 6 Y PASAJE ANDALUCÍA (PISTA Y VEREDA) Y JR. PUCALLPA CUADRA 1 (VEREDA) DEL SECTOR HOSPITAL MINSA, DE LA CIUDAD DE MOYOBAMBA DISTRITO DE MOYOBAMBA, PROVINCIA MOYOBAMBA, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE MOYOBAMBA;32;260;Pista y Vereda;PEN;1,057,101.80;PEN;954,591.00;Concluido
271;PE;11476;220101;2492072;2492072;SAN MARTIN;MOYOBAMBA;MOYOBAMBA;"CONSTRUCCION DE CALZADA, VEREDA, BERMA Y RAMPA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) JR. SUCRE CUADRA 8, 20 DE ABRIL CUADRAS 1 - 2 Y CORONEL SECADA CUADRA 11, DEL SECTOR HOSPITAL ESSALUD, DE LA CIUDAD DE MOYOBAMBA DISTRITO DE MOYOBAMBA, PROVINCIA MOYOBAMBA, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE MOYOBAMBA;35;240;Pista y Vereda;PEN;1,183,732.60;PEN;1,151,955.00;Concluido
272;PE;11476;220801;2492066;2492066;SAN MARTIN;RIOJA;RIOJA;"CONSTRUCCION DE CALZADA, VEREDA, CUNETA Y BERMA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) JR. ANGAIZA, CUADRAS 1-3 (VEREDAS Y CUNETAS) Y CUADRAS 13-14 (PISTA Y VEREDAS), DE LA CIUDAD DE RIOJA, DISTRITO DE RIOJA, PROVINCIA RIOJA, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE RIOJA;32;280;Pista y Vereda;PEN;1,070,852.74;PEN;1,036,853.00;Concluido
273;PE;11476;220901;2492345;2492345;SAN MARTIN;SAN MARTIN;TARAPOTO;"CONSTRUCCION DE PAVIMENTO; REPARACION DE PAVIMENTO Y VEREDA; EN EL(LA) SECTOR LOS JARDINES EN LA LOCALIDAD TARAPOTO, DISTRITO DE TARAPOTO, PROVINCIA SAN MARTIN, DEPARTAMENTO SAN MARTIN";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE SAN MARTIN;52;850;Pista y Vereda;PEN;1,767,119.20;PEN;1,616,862.00;En Ejecución
274;PE;11476;250106;2492107;2492107;UCAYALI;CORONEL PORTILLO;NUEVA REQUENA;"CONSTRUCCION DE CALZADA, SARDINEL Y CUNETA; REPARACION DE VEREDA; EN EL(LA) SECTOR 03 DE LOS JR. CAIMITILLO CDRA. 01 Y 02, JR. LORO MICUNA CDRA. 01 Y JR. TORNILLO CDRA 01 DISTRITO DE NUEVA REQUENA, PROVINCIA CORONEL PORTILLO, DEPARTAMENTO UCAYALI";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE NUEVA REQUENA;52;882;Pista y Vereda;PEN;1,754,277.86;PEN;1,691,278.00;Concluido
275;PE;11476;250105;2492133;2492133;UCAYALI;CORONEL PORTILLO;YARINACOCHA;"CONSTRUCCION DE CALZADA, SARDINEL, CUNETA Y SEÑALES DE TRÁFICO; ADEMÁS DE OTROS ACTIVOS EN EL(LA) JR. PESCADOR C-3, C-4 Y EN EL JR. AGUAYTIA C-9, C-10, C-11 Y C-12, DE LA LOCALIDAD DE PUERTO CALLAO, EN LA LOCALIDAD PUERTO CALLAO, DISTRITO DE YARINACOCHA, PROVINCIA CORONEL PORTILLO, DEPARTAMENTO UCAYALI";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE YARINACOCHA;28;115;Pista y Vereda;PEN;936,558.22;PEN;902,159.00;Concluido
276;PE;11476;250101;2491647;2491647;UCAYALI;CORONEL PORTILLO;CALLERIA;"CONSTRUCCION DE CALZADA Y VEREDA; REPARACION DE VEREDA; EN EL(LA) AV. SAENZ PEÑA (BERMA CENTRAL) DISTRITO DE CALLERIA, PROVINCIA CORONEL PORTILLO, DEPARTAMENTO UCAYALI";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD PROVINCIAL DE CORONEL PORTILLO;38;166;Pista y Vereda;PEN;1,289,568.32;PEN;1,622,587.00;Concluido
277;PE;11476;21803;2492034;2492034;ANCASH;SANTA;COISHCO;"REPARACION DE PISTA Y VEREDA; EN EL(LA) SECTOR COISHCO VIEJO DISTRITO DE COISHCO, PROVINCIA SANTA, DEPARTAMENTO ANCASH";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE COISHCO;26;828;Pista y Vereda;PEN;879,364.42;PEN;728,079.00;Concluido
278;PE;11476;21803;2492038;2492038;ANCASH;SANTA;COISHCO;"REPARACION DE PISTA Y VEREDA; EN EL(LA) JIRÓN FRANCISCO BOLOGNESI DISTRITO DE COISHCO, PROVINCIA SANTA, DEPARTAMENTO ANCASH";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE COISHCO;20;720;Pista y Vereda;PEN;651,359.77;PEN;480,360.00;Concluido
279;PE;11476;21804;2492311;2492311;ANCASH;SANTA;MACATE;"CONSTRUCCION DE CALZADA, VEREDA Y SARDINEL; REPARACION DE CALZADA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) CENTRO POBLADO MACATE EN LA LOCALIDAD MACATE, DISTRITO DE MACATE, PROVINCIA SANTA, DEPARTAMENTO ANCASH";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE MACATE;20;313;Pista y Vereda;PEN;650,854.48;PEN;617,355.00;Concluido
280;PE;11476;21009;2492435;2492435;ANCASH;HUARI;MASIN;"CONSTRUCCION DE CALZADA, VEREDA, CUNETA Y RAMPA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) ÁMBITO URBANO DE LA LOCALIDAD DE MASIN  DISTRITO DE MASIN, PROVINCIA HUARI, DEPARTAMENTO ANCASH";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE MASIN;17;83;Pista y Vereda;PEN;555,135.37;PEN;509,333.00;Concluido
281;PE;11476;21805;2492030;2492030;ANCASH;SANTA;MORO;"REMODELACION DE PISTA; CONSTRUCCION DE VEREDA Y BERMA; EN EL(LA) AV. MANCO CAPAC DEL CENTRO POBLADO MORO EN LA LOCALIDAD MORO, DISTRITO DE MORO, PROVINCIA SANTA, DEPARTAMENTO ANCASH";DS N° 262-2020-EF ;URBANO;MUNICIPALIDAD DISTRITAL DE MORO;22;225;Pista y Vereda;PEN;715,919.08;PEN;693,920.00;Actos Previos
